Feature,Importance
PubchemFP608,7.416735842336741e-05
PubchemFP533,7.34328102103932e-05
PubchemFP328,7.12759210143161e-05
PubchemFP118,6.809984323596799e-05
PubchemFP802,6.744722382619336e-05
PubchemFP416,6.743020932850112e-05
PubchemFP434,6.672978951206443e-05
PubchemFP751,6.494727999632685e-05
PubchemFP292,6.459827383485944e-05
PubchemFP715,6.298386574924564e-05
PubchemFP529,6.135897425371171e-05
PubchemFP814,6.13482200442188e-05
PubchemFP147,6.035287185341916e-05
PubchemFP799,5.8898728191671144e-05
PubchemFP509,5.834135010002088e-05
PubchemFP130,5.773456048508799e-05
PubchemFP411,5.4951670999994225e-05
PubchemFP778,5.318297674640108e-05
PubchemFP456,5.182315165704978e-05
PubchemFP739,5.134012523696371e-05
PubchemFP505,5.0068816986352426e-05
PubchemFP510,4.967688565753412e-05
PubchemFP470,4.7214023569755243e-05
PubchemFP131,4.6407745567396617e-05
PubchemFP669,4.3311267917267553e-05
PubchemFP17,4.225181077407684e-05
PubchemFP460,4.15276101850423e-05
PubchemFP534,3.8394237132499873e-05
PubchemFP526,3.8326202858358494e-05
PubchemFP513,3.779606836480532e-05
PubchemFP629,3.674870301508567e-05
PubchemFP583,3.626923519839971e-05
PubchemFP570,3.59220423906634e-05
PubchemFP551,3.443475906702867e-05
PubchemFP552,3.417871038130682e-05
PubchemFP370,3.4127880453327535e-05
PubchemFP360,3.2405549466399476e-05
PubchemFP668,3.2032569315367426e-05
PubchemFP348,3.1893491869019365e-05
PubchemFP407,3.0896944492672105e-05
PubchemFP762,3.082312666935766e-05
PubchemFP564,3.0501927888063054e-05
PubchemFP603,2.9888566904767036e-05
PubchemFP660,2.9508613278560798e-05
PubchemFP384,2.914870994933159e-05
PubchemFP217,2.8081532897848466e-05
PubchemFP809,2.732169135509467e-05
PubchemFP786,2.727353255257015e-05
PubchemFP678,2.6388915497784822e-05
PubchemFP723,2.5107203509532236e-05
PubchemFP634,2.3382852628057283e-05
PubchemFP355,2.1932326523688922e-05
PubchemFP664,2.1483234394735742e-05
PubchemFP44,2.1216393032207066e-05
PubchemFP132,2.0887360472970983e-05
PubchemFP595,2.0763825443458327e-05
PubchemFP744,1.9688977469276637e-05
PubchemFP767,1.9490857958681193e-05
PubchemFP747,1.8897846542441895e-05
PubchemFP823,1.8872733886341334e-05
PubchemFP827,1.8488001920969778e-05
PubchemFP830,1.8218759049950472e-05
PubchemFP556,1.6747235620772734e-05
PubchemFP159,1.6497193135571756e-05
PubchemFP520,1.6449036219960317e-05
PubchemFP828,1.6212318044326586e-05
PubchemFP736,1.5953178229506557e-05
PubchemFP201,1.5874488837501078e-05
PubchemFP836,1.558586317598485e-05
PubchemFP773,1.5150927505768641e-05
PubchemFP746,1.46402478594389e-05
PubchemFP329,1.4491187965816456e-05
PubchemFP807,1.418705268528175e-05
PubchemFP760,1.387554423549827e-05
PubchemFP584,1.3734030825018457e-05
PubchemFP764,1.2898399395673719e-05
PubchemFP202,1.2720044564372316e-05
PubchemFP490,1.2523537154156485e-05
PubchemFP469,1.2294229612779498e-05
PubchemFP173,1.2175508899643164e-05
PubchemFP174,1.0977795383402084e-05
PubchemFP835,1.046788867410632e-05
PubchemFP817,1.0374283800140072e-05
PubchemFP441,1.0345232399528648e-05
PubchemFP578,1.018104376676501e-05
PubchemFP413,1.0112945380933431e-05
PubchemFP47,9.872866040376985e-06
PubchemFP171,8.628758798060446e-06
PubchemFP228,7.933971393277643e-06
PubchemFP458,7.666215816656237e-06
PubchemFP866,6.649564856161009e-06
PubchemFP156,5.7152485306701255e-06
PubchemFP845,5.485159649653418e-06
PubchemFP754,5.405469305876453e-06
PubchemFP854,5.308552606292732e-06
PubchemFP794,4.917214114152781e-06
PubchemFP772,4.710773610746567e-06
PubchemFP868,4.518681626332377e-06
PubchemFP810,4.422872443921017e-06
PubchemFP39,3.7807178268901013e-06
PubchemFP9,3.6199534931277824e-06
PubchemFP221,3.5160818097863427e-06
PubchemFP123,2.883741579275348e-06
PubchemFP164,2.839263511089651e-06
PubchemFP122,2.832560955397312e-06
PubchemFP825,2.7513325161137307e-06
PubchemFP283,2.3448828181253926e-06
PubchemFP841,2.2119892792594563e-06
PubchemFP557,2.189521432139593e-06
PubchemFP806,2.1614498979878376e-06
PubchemFP31,2.0831237778814748e-06
PubchemFP862,1.9756127378586323e-06
PubchemFP789,1.9098083252323563e-06
PubchemFP648,1.8742482070043066e-06
PubchemFP765,1.7262832930427489e-06
PubchemFP847,1.6817372861465815e-06
PubchemFP136,1.6125322581549142e-06
PubchemFP344,1.2623483191533113e-06
PubchemFP284,1.2320911484294113e-06
PubchemFP191,1.201329518624019e-06
PubchemFP864,1.027222714762946e-06
PubchemFP415,9.85057571552267e-07
PubchemFP166,9.611320751249325e-07
PubchemFP220,9.24879073329623e-07
PubchemFP139,5.697007635903903e-07
PubchemFP424,5.202227175738888e-07
PubchemFP743,5.149693527614344e-07
PubchemFP875,4.4281638068915277e-07
PubchemFP190,3.8313317683304107e-07
PubchemFP562,3.789013740124422e-07
PubchemFP331,3.5705344035005905e-07
PubchemFP167,2.9534995312870205e-07
PubchemFP843,2.9213076692861496e-07
PubchemFP22,2.2582859232757123e-07
PubchemFP28,2.0394748595249335e-07
PubchemFP354,9.010318310107849e-08
PubchemFP155,5.997470490408247e-08
PubchemFP410,5.988917531419726e-08
PubchemFP10,4.839470399609711e-08
PubchemFP478,4.7279523253487964e-08
PubchemFP209,4.0084269711374784e-08
PubchemFP872,2.8994934124331216e-08
PubchemFP479,2.4941111719903046e-08
PubchemFP726,2.2006225080405785e-08
PubchemFP851,7.990732486764592e-09
PubchemFP768,2.5645127389114796e-09
PubchemFP481,4.0212272113544506e-11
PubchemFP4,0.0
PubchemFP52,0.0
PubchemFP874,0.0
PubchemFP56,0.0
PubchemFP55,0.0
PubchemFP873,0.0
PubchemFP54,0.0
PubchemFP53,0.0
PubchemFP871,0.0
PubchemFP58,0.0
PubchemFP870,0.0
PubchemFP869,0.0
PubchemFP867,0.0
PubchemFP865,0.0
PubchemFP745,0.0
PubchemFP7,0.0
PubchemFP859,0.0
PubchemFP57,0.0
PubchemFP731,0.0
PubchemFP733,0.0
PubchemFP724,0.0
PubchemFP62,0.0
PubchemFP5,0.0
PubchemFP61,0.0
PubchemFP6,0.0
PubchemFP60,0.0
PubchemFP880,0.0
PubchemFP879,0.0
PubchemFP59,0.0
PubchemFP732,0.0
PubchemFP727,0.0
PubchemFP878,0.0
PubchemFP877,0.0
PubchemFP876,0.0
PubchemFP857,0.0
PubchemFP64,0.0
PubchemFP63,0.0
PubchemFP858,0.0
PubchemFP775,0.0
PubchemFP856,0.0
PubchemFP796,0.0
PubchemFP816,0.0
PubchemFP26,0.0
PubchemFP811,0.0
PubchemFP808,0.0
PubchemFP27,0.0
PubchemFP766,0.0
PubchemFP29,0.0
PubchemFP32,0.0
PubchemFP795,0.0
PubchemFP748,0.0
PubchemFP790,0.0
PubchemFP769,0.0
PubchemFP787,0.0
PubchemFP35,0.0
PubchemFP36,0.0
PubchemFP40,0.0
PubchemFP41,0.0
PubchemFP774,0.0
PubchemFP829,0.0
PubchemFP831,0.0
PubchemFP832,0.0
PubchemFP837,0.0
